,precision,recall,f1-score,support
airplane,0.9939024390243902,0.978,0.9858870967741935,1000.0
automobile,0.9888663967611336,0.977,0.9828973843058351,1000.0
bird,0.9928425357873211,0.971,0.9817997977755308,1000.0
cat,0.9427443237907206,0.955,0.9488325881768505,1000.0
deer,0.9761668321747765,0.983,0.979571499750872,1000.0
dog,0.956,0.956,0.956,1000.0
frog,0.9821428571428571,0.99,0.9860557768924303,1000.0
horse,0.9899295065458208,0.983,0.9864525840441546,1000.0
ship,0.9755142017629774,0.996,0.9856506679861454,1000.0
truck,0.9742063492063492,0.982,0.9780876494023905,1000.0
accuracy,0.9771,0.9771,0.9771,0.9771
macro avg,0.9772315442196347,0.9770999999999999,0.9771235045108403,10000.0
weighted avg,0.9772315442196347,0.9771,0.9771235045108402,10000.0
